,o,d
2023-01-01 00:55:55,RODRIGO,VINICIUS
2023-01-01 01:18:13,RODRIGO,GABRIEL
2023-01-01 23:16:25,RODRIGO,VINICIUS
2023-01-01 23:31:06,RODRIGO,GABRIEL
2023-02-10 04:06:19,RODRIGO,VINICIUS
2023-02-10 04:26:29,RODRIGO,GABRIEL
2023-05-06 09:14:55,RODRIGO,VINICIUS
2023-05-06 09:15:21,RODRIGO,GABRIEL
2023-05-30 20:10:45,RODRIGO,VINICIUS
2023-05-30 20:59:03,RODRIGO,GABRIEL
2023-06-29 02:41:24,RODRIGO,VINICIUS
2023-06-29 02:59:08,RODRIGO,GABRIEL
2023-08-16 21:33:34,RODRIGO,VINICIUS
2023-08-16 22:37:06,RODRIGO,GABRIEL
2023-08-21 14:27:18,RODRIGO,VINICIUS
2023-08-21 14:50:06,RODRIGO,GABRIEL
2023-10-06 14:59:24,RODRIGO,VINICIUS
2023-10-06 15:19:19,RODRIGO,GABRIEL
2023-11-24 12:06:58,RODRIGO,VINICIUS
2023-11-24 12:15:02,RODRIGO,GABRIEL
